Zipcode;State;City;ZipCodeType;LocationType
00704;PR;PARC PARQUE;STANDARD;NOT ACCEPTABLE
00704;PR;PASEO COSTA DEL SUR;STANDARD;NOT ACCEPTABLE
00704;PR;SECT LANAUSSE;STANDARD;NOT ACCEPTABLE
00704;PR;URB EUGENE RICE;STANDARD;NOT ACCEPTABLE
00704;PR;URB GONZALEZ;STANDARD;NOT ACCEPTABLE
00704;PR;URB LA FABRICA;STANDARD;NOT ACCEPTABLE
00704;PR;URB MONTE SORIA 2;STANDARD;NOT ACCEPTABLE
00704;PR;VILLAS DEL COQUI;STANDARD;NOT ACCEPTABLE
00705;PR;AIBONITO;STANDARD;PRIMARY
00705;PR;BDA SAN LUIS;STANDARD;NOT ACCEPTABLE
00705;PR;BO LLANOS;STANDARD;NOT ACCEPTABLE
00705;PR;BRISAS DE AIBONITO;STANDARD;NOT ACCEPTABLE
00705;PR;COLINAS DE SAN FRANCISCO;STANDARD;NOT ACCEPTABLE
00705;PR;EST DEL LLANO;STANDARD;NOT ACCEPTABLE
00705;PR;EXT BELLA VISTA;STANDARD;NOT ACCEPTABLE
00705;PR;EXT SAN LUIS;STANDARD;NOT ACCEPTABLE
00705;PR;EXT VILLA ROSALES;STANDARD;NOT ACCEPTABLE
00705;PR;REPTO ROBLES;STANDARD;NOT ACCEPTABLE
00705;PR;URB BELLA VISTA;STANDARD;NOT ACCEPTABLE
00705;PR;URB BUENA VISTA;STANDARD;NOT ACCEPTABLE
00705;PR;URB GOLDEN VLG IV;STANDARD;NOT ACCEPTABLE
00705;PR;URB LA PROVIDENCIA;STANDARD;NOT ACCEPTABLE
00705;PR;VILLA DE LA ROSA;STANDARD;NOT ACCEPTABLE
00705;PR;VILLA ROSALES;STANDARD;NOT ACCEPTABLE
00705;PR;VILLAS DEL COQUI;STANDARD;NOT ACCEPTABLE
00610;PR;ANASCO;STANDARD;PRIMARY
00610;PR;BRISAS DE ANASCO;STANDARD;NOT ACCEPTABLE
00610;PR;EST DE VALLE VERDE;STANDARD;NOT ACCEPTABLE
00610;PR;JARD DE ANASCO;STANDARD;NOT ACCEPTABLE
00610;PR;PASEO DEL VALLE;STANDARD;NOT ACCEPTABLE
00610;PR;REPTO DAGUEY;STANDARD;NOT ACCEPTABLE
00610;PR;URB SAN ANTONIO;STANDARD;NOT ACCEPTABLE
00611;PR;ANGELES;PO BOX;PRIMARY
00612;PR;ARECIBO;STANDARD;PRIMARY
00612;PR;ALT DE JUNCOS;STANDARD;NOT ACCEPTABLE
00612;PR;ALT DE SAN FELIPE;STANDARD;NOT ACCEPTABLE
00612;PR;BDA DUHAMEL;STANDARD;NOT ACCEPTABLE
00612;PR;BO EL PASAJE;STANDARD;NOT ACCEPTABLE
00612;PR;BO ISLOTE;STANDARD;NOT ACCEPTABLE
00612;PR;BO ISLOTE II;STANDARD;NOT ACCEPTABLE
00612;PR;BO JAREALITOS;STANDARD;NOT ACCEPTABLE
00612;PR;BO OBRERO;STANDARD;NOT ACCEPTABLE
00612;PR;BO SANTANA;STANDARD;NOT ACCEPTABLE
00612;PR;COMUNIDAD BUENOS AIRES;STANDARD;NOT ACCEPTABLE
00612;PR;EST DE ARECIBO;STANDARD;NOT ACCEPTABLE
00612;PR;EST DE BALSEIRO;STANDARD;NOT ACCEPTABLE
00612;PR;EXT MARISOL;STANDARD;NOT ACCEPTABLE
00612;PR;EXT TANAMA;STANDARD;NOT ACCEPTABLE
00612;PR;EXT VILLA LOS SANTOS I;STANDARD;NOT ACCEPTABLE
00612;PR;EXT VILLA LOS SANTOS II;STANDARD;NOT ACCEPTABLE
00612;PR;HACIENDA TOLEDO;STANDARD;NOT ACCEPTABLE
00612;PR;JARD DE ARECIBO;STANDARD;NOT ACCEPTABLE
00612;PR;JARD DE SAN RAFAEL;STANDARD;NOT ACCEPTABLE
00612;PR;PARC MATTEY;STANDARD;NOT ACCEPTABLE
00612;PR;PARC NAVAS;STANDARD;NOT ACCEPTABLE
00612;PR;PARC PEREZ;STANDARD;NOT ACCEPTABLE
00601;PR;ADJUNTAS;STANDARD;PRIMARY
00601;PR;COLINAS DEL GIGANTE;STANDARD;NOT ACCEPTABLE
00601;PR;JARD DE ADJUNTAS;STANDARD;NOT ACCEPTABLE
00601;PR;URB SAN JOAQUIN;STANDARD;NOT ACCEPTABLE
00631;PR;CASTANER;PO BOX;PRIMARY
00631;PR;ADJUNTAS;PO BOX;ACCEPTABLE
00602;PR;AGUADA;STANDARD;PRIMARY
00602;PR;ALTS DE AGUADA;STANDARD;NOT ACCEPTABLE
00602;PR;BO GUANIQUILLA;STANDARD;NOT ACCEPTABLE
00602;PR;COMUNIDAD LAS FLORES;STANDARD;NOT ACCEPTABLE
00602;PR;EXT LOS ROBLES;STANDARD;NOT ACCEPTABLE
00602;PR;URB ISABEL LA CATOLICA;STANDARD;NOT ACCEPTABLE
00603;PR;AGUADILLA;STANDARD;PRIMARY
00603;PR;RAMEY;STANDARD;ACCEPTABLE
00603;PR;BDA CABAN;STANDARD;NOT ACCEPTABLE
00603;PR;BDA ESTEVES;STANDARD;NOT ACCEPTABLE
00603;PR;BO BORINQUEN;STANDARD;NOT ACCEPTABLE
00603;PR;BO CEIBA BAJA;STANDARD;NOT ACCEPTABLE
00603;PR;EXT EL PRADO;STANDARD;NOT ACCEPTABLE
00603;PR;EXT MARBELLA;STANDARD;NOT ACCEPTABLE
00603;PR;REPTO JIMENEZ;STANDARD;NOT ACCEPTABLE
00603;PR;REPTO JUAN AGUIAR;STANDARD;NOT ACCEPTABLE
00603;PR;REPTO LOPEZ;STANDARD;NOT ACCEPTABLE
00603;PR;REPTO TRES PALMAS;STANDARD;NOT ACCEPTABLE
00603;PR;SECT LAS VILLAS;STANDARD;NOT ACCEPTABLE
00603;PR;URB BORINQUEN;STANDARD;NOT ACCEPTABLE
00603;PR;URB EL PRADO;STANDARD;NOT ACCEPTABLE
00603;PR;URB ESTEVES;STANDARD;NOT ACCEPTABLE
00603;PR;URB GARCIA;STANDARD;NOT ACCEPTABLE
00603;PR;URB LAS AMERICAS;STANDARD;NOT ACCEPTABLE
00603;PR;URB LAS CASITAS COUNTRY CLUB;STANDARD;NOT ACCEPTABLE
00603;PR;URB MALEZA GDNS;STANDARD;NOT ACCEPTABLE
00603;PR;URB MARBELLA;STANDARD;NOT ACCEPTABLE
00603;PR;URB RAMEY;STANDARD;NOT ACCEPTABLE
00603;PR;URB RUBIANES;STANDARD;NOT ACCEPTABLE
00603;PR;URB SAN CARLOS;STANDARD;NOT ACCEPTABLE
00603;PR;URB SANTA MARTA;STANDARD;NOT ACCEPTABLE
00603;PR;URB VICTORIA;STANDARD;NOT ACCEPTABLE
00603;PR;VILLA ALEGRIA;STANDARD;NOT ACCEPTABLE
00603;PR;VILLA LINDA;STANDARD;NOT ACCEPTABLE
00603;PR;VILLA LYDIA;STANDARD;NOT ACCEPTABLE
00603;PR;VILLA UNIVERSITARIA;STANDARD;NOT ACCEPTABLE
00603;PR;VILLAS DE ALMERIA;STANDARD;NOT ACCEPTABLE
00603;PR;VISTA ALEGRE;STANDARD;NOT ACCEPTABLE
00603;PR;VISTA VERDE;STANDARD;NOT ACCEPTABLE
00604;PR;AGUADILLA;PO BOX;PRIMARY
00604;PR;RAMEY;PO BOX;ACCEPTABLE
00605;PR;AGUADILLA;PO BOX;PRIMARY
00703;PR;AGUAS BUENAS;STANDARD;PRIMARY
00703;PR;EST DEL RIO;STANDARD;NOT ACCEPTABLE
00703;PR;MANS DE AGUAS BUENAS;STANDARD;NOT ACCEPTABLE
00703;PR;URB SAN ANTONIO;STANDARD;NOT ACCEPTABLE
00704;PR;AGUIRRE;STANDARD;PRIMARY
00704;PR;EST DE TRINITARIA;STANDARD;NOT ACCEPTABLE
00704;PR;EXT EL COQUI;STANDARD;NOT ACCEPTABLE
00704;PR;PARC CABASA;STANDARD;NOT ACCEPTABLE
07093;NJ;MONITOR;STANDARD;NOT ACCEPTABLE
07093;NJ;TAURUS;STANDARD;NOT ACCEPTABLE
07675;NJ;WESTWOOD;STANDARD;PRIMARY
07675;NJ;OLD TAPPAN;STANDARD;ACCEPTABLE
07675;NJ;RIVER VALE;STANDARD;ACCEPTABLE
07675;NJ;RIVERVALE;STANDARD;ACCEPTABLE
07677;NJ;WOODCLIFF LAKE;STANDARD;PRIMARY
07677;NJ;WESTWOOD;STANDARD;ACCEPTABLE
07677;NJ;WOODCLIFF LK;STANDARD;ACCEPTABLE
07885;NJ;WHARTON;STANDARD;PRIMARY
07981;NJ;WHIPPANY;STANDARD;PRIMARY
07999;NJ;WHIPPANY;STANDARD;PRIMARY
08888;NJ;WHITEHOUSE;PO BOX;PRIMARY
08889;NJ;WHITEHOUSE STATION;STANDARD;PRIMARY
08889;NJ;WHITE HSE STA;STANDARD;ACCEPTABLE
08889;NJ;WHITE HOUSE STATION;STANDARD;NOT ACCEPTABLE
07095;NJ;WOODBRIDGE;STANDARD;PRIMARY
07481;NJ;WYCKOFF;STANDARD;PRIMARY
10451;NY;BRONX;STANDARD;PRIMARY
10452;NY;BRONX;STANDARD;PRIMARY
10452;NY;HIGHBRIDGE;STANDARD;NOT ACCEPTABLE
10452;NY;STADIUM;STANDARD;NOT ACCEPTABLE
10452;NY;UNIVERSITY HEIGHTS;STANDARD;NOT ACCEPTABLE
10453;NY;BRONX;STANDARD;PRIMARY
10454;NY;BRONX;STANDARD;PRIMARY
10454;NY;MOTT HAVEN;STANDARD;NOT ACCEPTABLE
10455;NY;BRONX;STANDARD;PRIMARY
10455;NY;HUB;STANDARD;NOT ACCEPTABLE
10456;NY;BRONX;STANDARD;PRIMARY
10456;NY;MORRISANIA;STANDARD;NOT ACCEPTABLE
10457;NY;BRONX;STANDARD;PRIMARY
10458;NY;BRONX;STANDARD;PRIMARY
10459;NY;BRONX;STANDARD;PRIMARY
10459;NY;BOULEVARD;STANDARD;NOT ACCEPTABLE
10459;NY;LONGWOOD;STANDARD;NOT ACCEPTABLE
10460;NY;BRONX;STANDARD;PRIMARY
10460;NY;CROTONA PARK;STANDARD;NOT ACCEPTABLE
10460;NY;WEST FARMS;STANDARD;NOT ACCEPTABLE
10461;NY;BRONX;STANDARD;PRIMARY
10461;NY;MORRIS PARK;STANDARD;NOT ACCEPTABLE
