Order Number,Customer ID,Purchase Price,State
9645,449,$29.78,AR
1646,299,$99.75,TX
3198,252,$117.36,MO
6256,471,$85.42,OK
9075,846,$170.72,AR
3608,842,$124.12,TX
2725,877,$91.91,AR
7727,336,$171.32,AR
5899,233,$72.11,TX
3160,735,$24.36,LA
2055,200,$169.45,MS
5282,790,$86.62,TN
9806,503,$111.58,AR
2516,262,$167.92,TX
2916,669,$81.15,AR
2076,664,$24.46,LA
2709,614,$126.73,TX
9059,595,$153.14,AR
2077,100,$170.79,TX
9656,118,$144.73,LA
1038,518,$106.67,MS
3677,642,$94.62,TN
7821,123,$39.60,AR
1848,428,$20.49,TX
1288,221,$121.47,AR
2617,553,$27.71,AR
4425,773,$95.99,AR
2483,227,$180.61,TX
6634,831,$149.88,AR
3593,663,$40.06,MO
9725,180,$87.36,MS
5722,238,$76.36,AR
3704,336,$95.99,TX
8135,247,$127.24,LA
9614,883,$120.04,MO
5415,795,$60.93,AR
5721,720,$189.68,AR
7760,689,$53.30,LA
7618,736,$73.17,OK
9370,875,$152.15,AR
